"Loss" "ALAE"
9.82 3802.85
23.59 5612.01
44.18 320.04
50.82 303.36
58.98 759.58
75.02 8726.24
76.43 1826.7
79.18 78.72
86.26 47270.33
100.77 487.85
114.09 19.92
123.64 60772.23
133.99 2265.95
142.47 1924.32
144.36 125.58
147.47 2860.11
165.79 5198.15
189.63 925.55
201.09 1347.97
294.65 347.43
311.01 30657.93
313.05 1095.11
322.28 4172.69
352.02 76.43
349.24 1263.9
399.2 1347.42
502.49 162.59
490.98 177.7
505.2 721.39
494.12 1211.72
493.13 1409.8
491.04 1495.06
490.15 1546.68
491.07 1903.7
502.5 2011.82
500.04 2199.33
495.41 2755.01
508.31 2776.39
491.21 2934.83
508.1 3775.7
505.44 4383.92
508.14 4584.81
498.58 5390.42
508.01 5612.88
505.9 6342.09
508.41 9242.92
490.75 10249.99
494.94 14959.05
494.92 19195.63
524.47 2390.61
575.42 1914.2
604.24 1486.62
611.74 5134.61
625.68 213.58
667.12 2376.11
693.54 759.94
760.34 752.26
735.03 1740.73
743.66 2184.36
759.72 3220.61
762.78 3587.53
760.58 4819.62
749.24 7924.94
787.03 1565.72
788.74 5865.49
848.13 7743.11
816.62 9870.98
888.07 4643.84
905.05 982.31
891.89 9189.15
922.62 5523.31
995.4 327.33
988.61 413.87
1001.7 443.05
989.37 467.87
980.64 490.84
988.29 787.51
1003.59 928.33
1018.47 1090.49
1006.23 1289.43
1007.28 1325.35
995.78 1368.55
991.48 1869.6
1017.87 1972.29
1006.81 2256.58
997.15 2304.52
994.94 2447.03
1017.36 2511.14
1003.48 2499.14
987.01 2795.87
1009.84 3346.05
1012.53 3464.55
1006.82 4136.73
1006.98 4992.09
1012.7 5749.53
982.13 6496.63
1010.26 6536.86
1001.89 6554.96
1015.3 6828.32
1018.25 6795.12
1012.98 7678.53
1014.96 8442.05
988.78 9596.47
1000 10903.91
1019.24 20791.39
1058.48 2141.91
1111.85 2183.54
1110.15 171.29
1142.95 1401.39
1124.59 1242.82
1190.08 968.67
1207.08 1256.26
1190.11 2480.35
1254.05 371.64
1263.1 363.67
1241.16 481.59
1235.3 526.4
1245.44 760.24
1248.72 2131.42
1240.7 2454.31
1262.92 3519.4
1279.41 1012.78
1323.07 1399.98
1274.56 2534.09
1304.08 1446.16
1350.29 1016.39
1373.51 9582.61
1430.31 2718.3
1446.53 3900.79
1511.21 59.66
1510.56 295.58
1502.44 322.79
1521.66 432.1
1514.1 818.28
1471.96 1252.55
1475.76 1301.37
1529.99 1691.63
1499.28 2315.73
1510.03 2414.32
1522.2 2944.63
1476.11 3237.45
1516.47 3638.73
1527.33 4705.03
1527.94 4846.53
1513.21 4824.5
1474.56 6495.69
1525.2 7115.47
1482.1 7578.84
1512.9 8222.58
1514.63 8328.17
1480.15 10052.01
1492.06 12232.68
1514.01 17387.48
1529.63 1602.89
1522.54 416.52
1580.75 3534.33
1608.44 2604.47
1657.12 332.3
1677.62 256.56
1675.56 12465.89
1648.27 532.84
1698.9 2444.53
1682.43 12395.76
1743.46 148.44
1773.27 196.26
1737.22 955.49
1733.48 1934.4
1793.15 788.4
1766.94 1809.31
1768.61 2844.48
1800.34 4579.67
1779.84 7750.24
1887.67 1166.48
1938.71 1581.38
1945.45 291.26
1915.98 10460.31
1995.85 771.45
1955.9 2720.75
2019.6 1911.62
1964.2 4862.33
1998.51 581.64
1972.17 702.66
2012.26 960.39
2005.19 1004.42
1981.29 1207.27
2012.35 1379.77
2002.01 1670.48
2008.16 1948.07
1966.96 2017.25
1997.91 2487.27
1969.21 2492.64
2033.44 2634.02
1988.86 2785.3
1964.2 3084.23
1971.52 3084.28
1965.32 3455.87
2017.67 3564.08
2007.78 4561.18
2037.06 4724.16
2008.91 5419.62
1962.74 5374.82
1995.4 5495.21
1989.33 5879.76
1988.74 6016.42
2039.17 5957.07
1989.53 6793.01
2035.85 6986.61
1961.21 7467.16
2011.11 8462.7
1995.33 8783.48
2014.4 9307.5
1978.11 17298.2
2040.95 5925.47
2056.53 1331.97
2043.47 599.63
2057.71 11097.38
2052.33 5692.78
2099.49 6118.95
2071.99 301.08
2113.25 2388.88
2178.7 9497.41
2229.57 2143.52
2265.61 8201.87
2236.52 14655.92
2275.61 799.09
2346.28 19150.51
2345.25 5822.7
2413.78 623.16
2381.3 969.19
2471.58 6619.41
2499.91 5464.86
2519.11 50.27
2519.68 113.18
2506.87 147.22
2493.35 184.2
2481.71 411.84
2526.94 533.32
2534.8 533.5
2547.99 657.06
2492.21 864.52
2505.71 877.24
2504.71 1071.09
2465.35 1060.13
2514.7 1138
2533.74 1160.92
2485.24 1858.01
2516.47 1968.69
2487.64 2305.22
2491.91 2278.99
2479.8 2342.71
2517.97 2399.17
2495.74 2415.45
2483.13 2888.25
2501.87 2971.09
2492.49 3285.9
2512.03 3370.55
2495.5 3628.99
2529.93 4265.54
2465.97 4286.47
2486.45 4372.25
2471.9 4693.74
2490.93 4803.47
2464.72 4730.47
2483.49 4899.13
2490.35 4938.42
2481.38 5128.66
2508.86 5019.51
2547.35 5372.1
2517.15 5328.29
2500.73 5514.33
2511.18 5750.68
2482.5 5837.53
2500.91 5816.89
2473.71 6111.34
2511.56 6131.31
2502.89 6830.15
2450.73 6995.55
2501.16 7486.36
2506.47 7226.16
2523.17 7307.95
2463.46 7495.1
2494.1 8028.95
2458.24 8158.88
2470.8 8730.27
2496.2 9146.69
2481.83 9599.07
2459.44 12574
2458.7 12657.9
2474.04 14639.49
2611.57 810.33
2573.26 2202.13
2605.12 4879.59
2656.65 1107.8
2728.24 3569.63
2676.21 111188.32
2759.81 2476.03
2711.81 1498.27
2772.76 4581.28
2800.81 3998.36
2766.48 2601.99
2895.52 5019
2911.54 1711.43
2964.73 7877.82
2980.48 190.45
3044.67 421.31
3030.12 762.33
2981.27 1322.17
3047.07 1489.7
2968.97 1563.05
3020.69 1634.23
2958.12 1684.05
3051.49 1904.79
2987.77 1946.39
2989.99 2133.86
3009.94 2246.15
2968.69 2523.26
2961.42 2996.17
2998.61 3051.62
3024.6 3111.29
3006.2 3304.04
2987.74 3390.39
3025.72 5759.83
3023.8 7262.47
3023.24 8549.46
2999.68 10501.56
3010.97 11552.14
3011.07 11984.59
3053.43 12403.56
2940.12 14376.73
2947.99 17844.14
3039.05 32507.77
3098.84 340.06
3198.27 35.16
3206.84 10198.24
3260.25 6948.41
3364.42 697.58
3236.02 2965.04
